[ 2025-04-12 14:07:31,274 ] 20 root - INFO - Initiate the data ingestion
[ 2025-04-12 14:07:41,666 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-12 14:07:41,667 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-12 14:07:41,668 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-12 14:07:41,819 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-12 14:07:41,819 ] 22 root - INFO - Data Initiation Completed
[ 2025-04-12 14:07:41,833 ] 26 root - INFO - Initiate the data Validation
[ 2025-04-12 14:07:41,881 ] 32 root - INFO - Required number of columns:2
[ 2025-04-12 14:07:41,882 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-12 14:07:41,882 ] 32 root - INFO - Required number of columns:2
[ 2025-04-12 14:07:41,882 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-12 14:07:42,189 ] 28 root - INFO - data Validation Completed
[ 2025-04-12 14:07:42,190 ] 31 root - INFO - data Transformation started
[ 2025-04-12 14:07:42,190 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-12 14:07:42,190 ] 65 root - INFO - Starting data transformation
[ 2025-04-12 14:07:42,241 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-04-12 14:07:42,241 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-04-12 14:07:42,288 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-12 14:07:42,297 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-12 14:07:42,298 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-12 14:07:42,308 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-12 14:07:42,311 ] 35 root - INFO - data Transformation completed
[ 2025-04-12 14:07:42,311 ] 37 root - INFO - Model Training sstared
[ 2025-04-12 14:14:07,257 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-12 14:14:07,264 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-12 14:14:07,265 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-12 14:14:07,289 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-12 14:14:07,290 ] 147 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_12_2025_14_07_23\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9902379499694935, precision_score=0.986826104580462, recall_score=0.9936734693877551), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9788760462335592, precision_score=0.9808306709265175, recall_score=0.9769291964996022))
[ 2025-04-12 14:14:07,294 ] 42 root - INFO - Model Training artifact created
